DP;DPNOM;DPMP;MPIO;2017;cdigo.dane
25;Cundinamarca;25743;Silvania;22052;25743000
25;Cundinamarca;25745;Simijaca;13516;25745000
25;Cundinamarca;25754;Soacha;533718;25754000
25;Cundinamarca;25758;Sopó;27932;25758000
25;Cundinamarca;25769;Subachoque;1675;25769000
25;Cundinamarca;25772;Suesca;18011;25772000
25;Cundinamarca;25777;Supatá;5027;25777000
25;Cundinamarca;25779;Susa;12887;25779000
25;Cundinamarca;25781;Sutatausa;5725;25781000
25;Cundinamarca;25785;Tabio;28373;25785000
25;Cundinamarca;25793;Tausa;9006;25793000
25;Cundinamarca;25797;Tena;9223;25797000
25;Cundinamarca;25799;Tenjo;2007;25799000
25;Cundinamarca;25805;Tibacuy;4822;25805000
25;Cundinamarca;25807;Tibirita;2943;25807000
25;Cundinamarca;25815;Tocaima;18601;25815000
25;Cundinamarca;25817;Tocancipá;33677;25817000
25;Cundinamarca;25823;Topaipí;4504;25823000
25;Cundinamarca;25839;Ubalá;10467;25839000
25;Cundinamarca;25841;Ubaque;6036;25841000
25;Cundinamarca;25843;Villa de San Diego de Ubate;39205;25843000
25;Cundinamarca;25845;Une;9435;25845000
25;Cundinamarca;25851;Útica;5023;25851000
25;Cundinamarca;25862;Vergara;7704;25862000
25;Cundinamarca;25867;Vianí;4214;25867000
25;Cundinamarca;25871;Villagómez;2166;25871000
25;Cundinamarca;25873;Villapinzón;20391;25873000
25;Cundinamarca;25875;Villeta;25381;25875000
25;Cundinamarca;25878;Viotá;13339;25878000
25;Cundinamarca;25885;Yacopí;17067;25885000
25;Cundinamarca;25898;Zipacón;5695;25898000
25;Cundinamarca;25899;Zipaquirá;126409;25899000
27;Chocó;27001;Quibdó;116058;27001000
27;Chocó;27006;Acandí;9408;27006000
27;Chocó;27025;Alto Baudo;3867;27025000
27;Chocó;27050;Atrato;10471;27050000
27;Chocó;27073;Bagadó;7984;27073000
27;Chocó;27075;Bahía Solano;9375;27075000
27;Chocó;27077;Bajo Baudó;17617;27077000
27;Chocó;27099;Bojaya;10116;27099000
27;Chocó;27135;El Cantón del San Pablo;8375;27135000
27;Chocó;27150;Carmen del Darien;5524;27150000
27;Chocó;27160;Cértegui;10153;27160000
27;Chocó;27205;Condoto;14991;27205000
27;Chocó;27245;El Carmen de Atrato;14524;27245000
27;Chocó;27250;El Litoral del San Juan;15994;27250000
27;Chocó;27361;Istmina;25686;27361000
27;Chocó;27372;Juradó;3267;27372000
27;Chocó;27413;Lloró;11372;27413000
27;Chocó;27425;Medio Atrato;31465;27425000
27;Chocó;27430;Medio Baudó;13951;27430000
27;Chocó;27450;Medio San Juan;17071;27450000
27;Chocó;27491;Nóvita;7963;27491000
27;Chocó;27495;Nuquí;8775;27495000
27;Chocó;27580;Río Iro;10042;27580000
27;Chocó;27600;Río Quito;918;27600000
27;Chocó;27615;Riosucio(2);28923;27615000
27;Chocó;27660;San José del Palmar;4768;27660000
27;Chocó;27745;Sipí;4154;27745000
27;Chocó;27787;Tadó;19043;27787000
27;Chocó;27800;Unguía;15223;27800000
27;Chocó;27810;Unión Panamericana;9904;27810000
41;Huila;41001;Neiva;345806;41001000
41;Huila;41006;Acevedo;34354;41006000
41;Huila;41013;Agrado;9168;41013000
41;Huila;41016;Aipe;27669;41016000
41;Huila;41020;Algeciras;24611;41020000
41;Huila;41026;Altamira;4455;41026000
41;Huila;41078;Baraya;9682;41078000
41;Huila;41132;Campoalegre;34627;41132000
41;Huila;41206;Colombia;12655;41206000
41;Huila;41244;Elías;4064;41244000
41;Huila;41298;Garzón;92186;41298000
41;Huila;41306;Gigante;3441;41306000
41;Huila;41319;Guadalupe;2206;41319000
41;Huila;41349;Hobo;6986;41349000
41;Huila;41357;Iquira;13178;41357000
41;Huila;41359;Isnos;2783;41359000
41;Huila;41378;La Argentina;14532;41378000
41;Huila;41396;La Plata;64938;41396000
41;Huila;41483;Nátaga;6443;41483000
41;Huila;41503;Oporapa;14141;41503000
41;Huila;41518;Paicol;5648;41518000
41;Huila;41524;Palermo;33825;41524000
41;Huila;41530;Palestina;1182;41530000
41;Huila;41548;Pital;13861;41548000
41;Huila;41551;Pitalito;130716;41551000
41;Huila;41615;Rivera;19186;41615000
41;Huila;41660;Saladoblanco;11699;41660000
41;Huila;41668;San Agustín;33517;41668000
41;Huila;41676;Santa María;11556;41676000
41;Huila;41770;Suaza;20019;41770000
41;Huila;41791;Tarqui;17931;41791000
41;Huila;41797;Tesalia;9305;41797000
41;Huila;41799;Tello;14358;41799000
41;Huila;41801;Teruel;8838;41801000
41;Huila;41807;Timaná;20386;41807000
41;Huila;41872;Villavieja;7308;41872000
41;Huila;41885;Yaguará;9176;41885000
44;La Guajira;44001;Riohacha;277868;44001000
44;La Guajira;44035;Albania;27589;44035000
44;La Guajira;44078;Barrancas;36134;44078000
44;La Guajira;44090;Dibulla;35404;44090000
44;La Guajira;44098;Distracción;16484;44098000
44;La Guajira;44110;El Molino;894;44110000
44;La Guajira;44279;Fonseca;34286;44279000
44;La Guajira;44378;Hatonuevo;26782;44378000
44;La Guajira;44420;La Jagua del Pilar;3289;44420000
44;La Guajira;44430;Maicao;162118;44430000
44;La Guajira;44560;Manaure;112103;44560000
44;La Guajira;44650;San Juan del Cesar;38351;44650000
44;La Guajira;44847;Uribia;186532;44847000
44;La Guajira;44855;Urumita;18792;44855000
44;La Guajira;44874;Villanueva;28254;44874000
47;Magdalena;47001;Santa Marta;499391;47001000
47;Magdalena;47030;Algarrobo;12741;47030000
47;Magdalena;47053;Aracataca;40386;47053000
47;Magdalena;47058;Ariguaní;32409;47058000
47;Magdalena;47161;Cerro San Antonio;7768;47161000
47;Magdalena;47170;Chivolo;15848;47170000
47;Magdalena;47189;Ciénaga;104908;47189000
47;Magdalena;47205;Concordia;9296;47205000
47;Magdalena;47245;El Banco;55801;47245000
47;Magdalena;47258;El Piñon;16729;47258000
47;Magdalena;47268;El Retén;21494;47268000
47;Magdalena;47288;Fundación;57456;47288000
47;Magdalena;47318;Guamal;27761;47318000
47;Magdalena;47460;Nueva Granada;20661;47460000
47;Magdalena;47541;Pedraza;8092;47541000
47;Magdalena;47545;Pijiño del Carmen;16186;47545000
47;Magdalena;47551;Pivijay;33572;47551000
47;Magdalena;47555;Plato;59814;47555000
47;Magdalena;47570;Puebloviejo;31697;47570000
47;Magdalena;47605;Remolino;8047;47605000
47;Magdalena;47660;Sabanas de San Angel;17321;47660000
47;Magdalena;47675;Salamina;6875;47675000
47;Magdalena;47692;San Sebastián de Buenavista;17539;47692000
47;Magdalena;47703;San Zenón;9154;47703000
47;Magdalena;47707;Santa Ana;26584;47707000
47;Magdalena;47720;Santa Bárbara de Pinto;12935;47720000
47;Magdalena;47745;Sitionuevo;32454;47745000
47;Magdalena;47798;Tenerife;12224;47798000
47;Magdalena;47960;Zapayán;8869;47960000
47;Magdalena;47980;Zona Bananera;61372;47980000
50;Meta;50001;Villavicencio;506012;50001000
50;Meta;50006;Acacías;72048;50006000
50;Meta;50110;Barranca de Upía;4097;50110000
50;Meta;50124;Cabuyaro;4078;50124000
50;Meta;50150;Castilla la Nueva;10194;50150000
50;Meta;50223;Cubarral;6107;50223000
50;Meta;50226;Cumaral;1827;50226000
50;Meta;50245;El Calvario;2235;50245000
50;Meta;50251;El Castillo;6244;50251000
50;Meta;50270;El Dorado;3445;50270000
50;Meta;50287;Fuente de Oro;13698;50287000
50;Meta;50313;Granada;64695;50313000
